,idind_m,idind_c,gender,s57,cprel,west_dob_y,moon_dob_y,s56
149,111403003002.0,111403003003.0,2.0,,,2010.0,2010.0,
150,111403004002.0,111403004003.0,2.0,,,1989.0,1989.0,
151,111403005002.0,111403005003.0,1.0,,,1989.0,1989.0,
152,111403007002.0,111403007003.0,2.0,,,1992.0,1992.0,
153,111403008001.0,111403008003.0,2.0,,,2004.0,2004.0,
154,111403009002.0,111403009003.0,1.0,,,1985.0,1985.0,
155,111403010001.0,111403010003.0,2.0,,,2000.0,2000.0,
156,111403012002.0,111403012003.0,1.0,,,1999.0,1999.0,
157,111403013001.0,111403013003.0,1.0,,,2007.0,2007.0,
158,111403016002.0,111403016801.0,2.0,,,1998.0,1998.0,
159,111403017002.0,111403017003.0,1.0,,,1996.0,1996.0,
160,111403019002.0,111403019003.0,1.0,,,2006.0,2006.0,
161,111403020002.0,111403020003.0,2.0,,,2007.0,2006.0,
162,111403161002.0,111403161003.0,2.0,,,1992.0,1992.0,
163,111403162002.0,111403162003.0,2.0,,,1993.0,1993.0,
164,111403163001.0,111403163003.0,1.0,,,2006.0,2006.0,
165,111403166003.0,111403166004.0,2.0,,,1992.0,1992.0,
166,111403167002.0,111403167003.0,2.0,,,2002.0,2002.0,
167,111403167002.0,111403167004.0,1.0,,,2009.0,2009.0,
168,111404001002.0,111404001003.0,2.0,,,2002.0,2002.0,
169,111404002002.0,111404002003.0,2.0,,,2005.0,2005.0,
170,111404003002.0,111404003003.0,2.0,,,2008.0,2008.0,
171,111404004002.0,111404004003.0,2.0,,,2008.0,2008.0,
172,111404005002.0,111404005003.0,1.0,,,2008.0,2008.0,
173,111404006002.0,111404006003.0,2.0,,,1997.0,1997.0,
174,111404007002.0,111404007003.0,2.0,,,2002.0,2002.0,
175,111404008002.0,111404008003.0,1.0,,,2002.0,2001.0,
176,111404009002.0,111404009003.0,1.0,,,2001.0,2001.0,
177,111404010002.0,111404010003.0,2.0,,,2004.0,2004.0,
178,111404010002.0,111404010161.0,1.0,,,2013.0,2013.0,
179,111404012002.0,111404012161.0,2.0,,,2011.0,2011.0,
180,111404016002.0,111404016003.0,2.0,,,1990.0,1989.0,
181,111404017002.0,111404017003.0,2.0,,,1987.0,1987.0,
182,111404019002.0,111404019003.0,2.0,,,1993.0,1993.0,
183,112101001001.0,112101001801.0,2.0,,,1986.0,1986.0,
184,112101004161.0,112101004162.0,2.0,,,2003.0,2002.0,
185,112101005004.0,112101005005.0,2.0,,,2006.0,2006.0,
186,112101006004.0,112101006005.0,2.0,,,2006.0,2006.0,
187,112101009001.0,112101009003.0,2.0,,,2011.0,2011.0,
188,112101010001.0,112101010002.0,2.0,,,2007.0,2007.0,
189,112101011005.0,112101011003.0,2.0,,,2008.0,2007.0,
190,112101014001.0,112101014002.0,2.0,,,1987.0,1987.0,
191,112101016001.0,112101016002.0,1.0,,,2000.0,2000.0,
192,112101017001.0,112101017003.0,1.0,,,1997.0,1997.0,
193,112102001001.0,112102001003.0,1.0,,,2001.0,2001.0,
194,112102003002.0,112102003003.0,1.0,,,1990.0,1990.0,
195,112102004002.0,112102004003.0,2.0,,,1992.0,1992.0,
196,112102005002.0,112102005003.0,2.0,,,1989.0,1989.0,
197,112102005002.0,112102005801.0,2.0,,,1994.0,1993.0,
198,112102006002.0,112102006801.0,2.0,,,1992.0,,
