,hhid,idind,wave,indbusimp,indbus,indfarmimp,indfarm,indfishimp,indfish,indgardimp,indgard,indlvstimp,indlvst,indret,indretimp,indwage,indwageimp,indinc,indincimp,commid,t1,urban,cpi1988,cpi2015,index_new,index_old,indinc_cpi
60334,211204121.0,211204121001.0,2009.0,0.0,24000.0,,,,,,,,,,,,,24000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,32432.432432432433
60335,211204122.0,211204122001.0,2009.0,,,,,,,,,,,,,6960.0,0.0,6960.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,9405.405405405405
60336,211204122.0,211204122002.0,2009.0,,,,,,,,,,,19800.0,0.0,,,19800.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,26756.756756756757
60337,211204124.0,211204124001.0,2009.0,,,,,,,,,,,,,14400.0,0.0,14400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,19459.45945945946
60338,211204124.0,211204124002.0,2009.0,,,,,,,,,,,,,14400.0,0.0,14400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,19459.45945945946
60339,211204125.0,211204125001.0,2009.0,,,,,,,,,,,15600.0,0.0,,,15600.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,21081.08108108108
60340,211204126.0,211204126001.0,2009.0,,,,,,,,,,,,,40000.0,0.0,40000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,54054.05405405405
60341,211204126.0,211204126002.0,2009.0,,,,,,,,,,,,,24000.0,0.0,24000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,32432.432432432433
60342,211204129.0,211204129001.0,2009.0,,,,,,,,,,,28800.0,0.0,,,28800.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,38918.91891891892
60343,211204129.0,211204129002.0,2009.0,,,,,,,,,,,14400.0,0.0,,,14400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,19459.45945945946
60344,211204130.0,211204130001.0,2009.0,,,,,,,,,,,27600.0,0.0,,,27600.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,37297.2972972973
60345,211204130.0,211204130002.0,2009.0,,,,,,,,,,,8400.0,0.0,,,8400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,11351.351351351352
60346,211204131.0,211204131001.0,2009.0,,,,,,,,,,,,,12000.0,0.0,12000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
60347,211204132.0,211204132001.0,2009.0,,,,,,,,,,,,,14900.0,0.0,14900.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,20135.135135135137
60348,211204132.0,211204132002.0,2009.0,,,,,,,,,,,,,26400.0,0.0,26400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,35675.67567567567
60349,211204133.0,211204133002.0,2009.0,,,,,,,,,,,,,4800.0,0.0,4800.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,6486.486486486487
60350,211204133.0,211204133003.0,2009.0,,,,,,,,,,,,,9600.0,0.0,9600.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60351,211204134.0,211204134002.0,2009.0,,,,,,,,,,,26400.0,0.0,,,26400.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,35675.67567567567
60352,211204135.0,211204135001.0,2009.0,,,,,,,,,,,,,18000.0,0.0,18000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,24324.324324324323
60353,211204135.0,211204135003.0,2009.0,,,,,,,,,,,,,6000.0,0.0,6000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,8108.108108108108
60354,211204136.0,211204136001.0,2009.0,,,,,,,,,,,,,9600.0,0.0,9600.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60355,211204136.0,211204136002.0,2009.0,,,,,,,,,,,12000.0,0.0,,,12000.0,0.0,211204.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
60356,211208001.0,211208001001.0,2009.0,,,,,,,,,,,8400.0,0.0,,,8400.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,11351.351351351352
60357,211208002.0,211208002003.0,2009.0,,,,,,,,,,,,,9600.0,0.0,9600.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60358,211208002.0,211208002004.0,2009.0,,,,,,,,,,,,,12000.0,0.0,12000.0,0.0,211208.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
